wave_num,S31,S32,S34,S35,S36,S37,S38,S39,S41,S42,S45,S48,S49,S50,S52,S54,S55,S57,S58,S62,S64,S69,S70
2.878855986,1.178998333,1.351336667,0.934275,0.806216667,1.127501667,1.152816667,1.105871667,0.709171667,0.829886667,1.007348333,0.941836667,1.332728333,0.594301667,0.638355,0.47636,1.468223333,1.499303333,0.749075,1.304948333,0.614316667,0.639325,1.655541667,0.644968333
2.864389439,1.165455,1.345228333,0.930341667,0.792746667,1.119338333,1.124738333,1.081906667,0.698525,0.807726667,0.996038333,0.920916667,1.331183333,0.592223333,0.632065,0.471576667,1.444615,1.489293333,0.746018333,1.29465,0.613053333,0.635316667,1.637715,0.644016667
2.849922892,1.162688333,1.344786667,0.927376667,0.781756667,1.10131,1.0992,1.066271667,0.68855,0.790386667,0.989721667,0.9046,1.303566667,0.589465,0.628403333,0.464838333,1.425125,1.511865,0.741173333,1.27218,0.608523333,0.630051667,1.641573333,0.637488333
2.835456046,1.163626667,1.338491667,0.917308333,0.766243333,1.082695,1.07744,1.05816,0.684336667,0.778335,0.980556667,0.886341667,1.273885,0.584791667,0.62407,0.456355,1.407446667,1.551065,0.734878333,1.24485,0.601998333,0.62286,1.641533333,0.629936667
2.820989499,1.151865,1.322478333,0.906608333,0.746863333,1.072921667,1.063355,1.038448333,0.683196667,0.765005,0.968105,0.869218333,1.267608333,0.578303333,0.618735,0.448326667,1.38707,1.57312,0.72912,1.216625,0.597823333,0.613198333,1.621733333,0.62496
2.806522952,1.131293333,1.305125,0.897636667,0.732043333,1.066098333,1.059285,1.009586667,0.679383333,0.748751667,0.954803333,0.857221667,1.270155,0.571226667,0.611661667,0.440535,1.384918333,1.587578333,0.722535,1.208565,0.595385,0.603735,1.582481667,0.621103333
2.792056406,1.113253333,1.30745,0.881388333,0.724475,1.044096667,1.063696667,0.98786,0.669535,0.731676667,0.945176667,0.84399,1.256108333,0.563823333,0.604418333,0.43026,1.399696667,1.565035,0.712021667,1.219968333,0.591498333,0.598766667,1.548746667,0.617041667
2.777589859,1.099193333,1.331065,0.858881667,0.717675,1.022548333,1.066643333,0.976506667,0.654445,0.715761667,0.935838333,0.826753333,1.242313333,0.556926667,0.596693333,0.418025,1.40612,1.501746667,0.701995,1.21919,0.586276667,0.596143333,1.52024,0.612888333
2.763123012,1.085598333,1.352451667,0.843355,0.704413333,1.01377,1.051196667,0.970168333,0.640948333,0.701876667,0.92443,0.812083333,1.229178333,0.550446667,0.5881,0.407715,1.397005,1.443023333,0.698543333,1.204155,0.580791667,0.590346667,1.491243333,0.607956667
2.748656466,1.07698,1.349851667,0.838605,0.68509,1.012363333,1.019143333,0.964178333,0.632085,0.689408333,0.917868333,0.801165,1.206038333,0.542841667,0.580646667,0.399635,1.382008333,1.429738333,0.696141667,1.197978333,0.574596667,0.583143333,1.473628333,0.602366667
